Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
DOCETAXEL,TP53,2.34,0.01,0.019582245,2.93E-05
VENETOCLAX,TP53,2.32,0.02,0.019408181,5.87E-05
CLOFIBRATE,TP53,2.32,0.02,0.019408181,5.87E-05
PAZOPANIB,TP53,2.32,0.01,0.019408181,2.93E-05
TOPOTECAN,TP53,2.32,0.02,0.019408181,5.87E-05
IRINOTECAN,TP53,2.3,0.01,0.019234117,2.93E-05
SAPANISERTIB,TP53,2.27,0.02,0.01897302,5.87E-05
CAULIBUGULONE D,TP53,2.18,0.07,0.01818973,0.000205381
TEBUFENPYRAD,TP53,2.18,0.07,0.01818973,0.000205381
GLUTARAL,TP53,2.18,0.07,0.01818973,0.000205381
TRAMETINIB,TP53,2.18,0.01,0.01818973,2.93E-05
CHEMBL599088,TP53,2.18,0.07,0.01818973,0.000205381
DEOXIEPINEPHRINE,TP53,2.18,0.02,0.01818973,5.87E-05
BENZALKONIUM CHLORIDE,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL267160,TP53,2.18,0.04,0.01818973,0.000117361
CARBENDAZIM,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL1214407,TP53,2.18,0.04,0.01818973,0.000117361
CHEMBL195350,TP53,2.18,0.07,0.01818973,0.000205381
(Z)-PIPLARTINE,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL1346468,TP53,2.18,0.07,0.01818973,0.000205381
CYAZOFAMID,TP53,2.18,0.07,0.01818973,0.000205381
RHODOMYRTOXIN B,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL259421,TP53,2.18,0.02,0.01818973,5.87E-05
AZD-7762,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL99408,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL259784,TP53,2.18,0.02,0.01818973,5.87E-05
CHEMBL259805,TP53,2.18,0.04,0.01818973,0.000117361
"3',4' DICHLOROBENZAMIL ",TP53,2.18,0.04,0.01818973,0.000117361
CHEMBL16685,TP53,2.18,0.07,0.01818973,0.000205381
TRIACETYLRESVERATROL,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL227959,TP53,2.18,0.04,0.01818973,0.000117361
CHEMBL582715,TP53,2.18,0.07,0.01818973,0.000205381
FURAZOLIDONE,TP53,2.18,0.07,0.01818973,0.000205381
CHEMBL1494650,TP53,2.18,0.07,0.01818973,0.000205381
BEVACIZUMAB,TP53,2.12,0.01,0.017667537,2.93E-05
ALPELISIB,TP53,2.11,0.01,0.017580505,2.93E-05
METHYLDOPA,TP53,2.04,0,0.016971279,0
CHEMBL154580,TP53,1.98,0.01,0.016449086,2.93E-05
DAUNORUBICIN,TP53,1.95,0,0.01618799,0
DACTOLISIB,TP53,1.94,0.01,0.016100957,2.93E-05
CAPIVASERTIB,TP53,1.94,0.03,0.016100957,8.80E-05
ENCORAFENIB,TP53,1.94,0.02,0.016100957,5.87E-05
IBRUTINIB,TP53,1.89,0.01,0.015665796,2.93E-05
CHEMBL1303948,TP53,1.87,0.02,0.015491732,5.87E-05
SALMETEROL XINAFOATE,TP53,1.87,0.02,0.015491732,5.87E-05
CIS-RESVERATROL,TP53,1.87,0.02,0.015491732,5.87E-05
ROTENONE,TP53,1.87,0.02,0.015491732,5.87E-05
SIROLIMUS,TP53,1.83,0.01,0.015143603,2.93E-05
GALLIC ACID,TP53,1.81,0.01,0.014969539,2.93E-05
SERTRALINE,TP53,1.81,0.01,0.014969539,2.93E-05
CHEMBL1522984,TP53,1.74,0.03,0.014360313,8.80E-05
CHEMBL408563,TP53,1.74,0.03,0.014360313,8.80E-05
ONONIN,TP53,1.74,0.03,0.014360313,8.80E-05
CHEMBL260028,TP53,1.74,0.03,0.014360313,8.80E-05
GARLIC,TP53,1.74,0.03,0.014360313,8.80E-05
BROXYQUINOLINE,TP53,1.74,0.03,0.014360313,8.80E-05
CHEMBL198759,TP53,1.74,0.06,0.014360313,0.000176041
OLAPARIB,TP53,1.74,0.01,0.014360313,2.93E-05
CHEMBL1397308,TP53,1.74,0.03,0.014360313,8.80E-05
ONC-201,TP53,1.74,0.06,0.014360313,0.000176041
CHEMBL261693,TP53,1.74,0.03,0.014360313,8.80E-05
METHYL ROBUSTONE,TP53,1.74,0.03,0.014360313,8.80E-05
CHEMBL260451,TP53,1.74,0.03,0.014360313,8.80E-05
TEROXIRONE,TP53,1.74,0.03,0.014360313,8.80E-05
ENALAPRIL,TP53,1.74,0.01,0.014360313,2.93E-05
CHEMBL1389794,TP53,1.74,0.03,0.014360313,8.80E-05
CHEMBL563919,TP53,1.74,0.03,0.014360313,8.80E-05
FUROXAN,TP53,1.74,0.03,0.014360313,8.80E-05
PANITUMUMAB,TP53,1.66,0.01,0.013664056,2.93E-05
CHEMBL410484,TP53,1.63,0.02,0.013402959,5.87E-05
GOSSYPOL,TP53,1.63,0.01,0.013402959,2.93E-05
"7,8-DIHYDROXYFLAVONE ",TP53,1.63,0.02,0.013402959,5.87E-05
METHYLPREDNISOLONE,TP53,1.63,0.02,0.013402959,5.87E-05
CHEMBL408850,TP53,1.58,0.01,0.012967798,2.93E-05
TRANILAST,TP53,1.58,0.01,0.012967798,2.93E-05
CHEMBL297784,TP53,1.58,0.01,0.012967798,2.93E-05
TAMOXIFEN,TP53,1.56,0.01,0.012793734,2.93E-05
CINNARIZINE,TP53,1.54,0.02,0.012619669,5.87E-05
CHEMBL528807,TP53,1.45,0.05,0.011836379,0.000146701
U-50488 METHANE SULFONATE,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL421215,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL578890,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL261118,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL1326499,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL590665,TP53,1.45,0.05,0.011836379,0.000146701
CAULIBUGULONE B,TP53,1.45,0.05,0.011836379,0.000146701
OLEAMIDE,TP53,1.45,0.05,0.011836379,0.000146701
METHIMAZOLE,TP53,1.45,0.02,0.011836379,5.87E-05
O-DEMETHYLATED ADAPALENE,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL259615,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL444376,TP53,1.45,0.02,0.011836379,5.87E-05
METHOTREXATE,TP53,1.45,0,0.011836379,0
CHEMBL408653,TP53,1.45,0.02,0.011836379,5.87E-05
DECITABINE,TP53,1.45,0.01,0.011836379,2.93E-05
CHEMBL320361,TP53,1.45,0.05,0.011836379,0.000146701
ROBUSTIC ACID,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL260213,TP53,1.45,0.02,0.011836379,5.87E-05
NEBULARINE,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL26320,TP53,1.45,0.02,0.011836379,5.87E-05
IOXYNIL,TP53,1.45,0.05,0.011836379,0.000146701
KRESOXIM-METHYL,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL233194,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL271023,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL261123,TP53,1.45,0.02,0.011836379,5.87E-05
CAULIBUGULONE C,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL473735,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL528712,TP53,1.45,0.05,0.011836379,0.000146701
PLUMBAGIN,TP53,1.45,0.01,0.011836379,2.93E-05
TRIFLOXYSTROBIN,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL66114,TP53,1.45,0.05,0.011836379,0.000146701
ANISINDIONE,TP53,1.45,0.02,0.011836379,5.87E-05
METHYLBENZETHONIUM CHLORIDE,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL600334,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL422942,TP53,1.45,0.05,0.011836379,0.000146701
CHEMBL579550,TP53,1.45,0.05,0.011836379,0.000146701
IODOQUINOL,TP53,1.45,0.02,0.011836379,5.87E-05
CHEMBL582473,TP53,1.45,0.05,0.011836379,0.000146701
OXALIPLATIN,TP53,1.41,0.02,0.011488251,5.87E-05
CHLOROXINE,TP53,1.31,0.01,0.010617929,2.93E-05
CHEMBL201325,TP53,1.31,0.01,0.010617929,2.93E-05
3-METHOXYCATECHOL,TP53,1.31,0.01,0.010617929,2.93E-05
BENZO(K)FLUORANTHENE,TP53,1.31,0.01,0.010617929,2.93E-05
TRIFLUOPERAZINE,TP53,1.26,0.01,0.010182768,2.93E-05
PYRITHIONE ZINC,TP53,1.24,0.01,0.010008703,2.93E-05
CHEMBL1333386,TP53,1.24,0.02,0.010008703,5.87E-05
IODOACETAMIDE,TP53,1.24,0.01,0.010008703,2.93E-05
"2,6-DIMETHOXYQUINONE",TP53,1.24,0.02,0.010008703,5.87E-05
BENZO[B]FLUORANTHENE,TP53,1.24,0.02,0.010008703,5.87E-05
VESNARINONE,TP53,1.24,0.04,0.010008703,0.000117361
PROPACHLOR,TP53,1.24,0.02,0.010008703,5.87E-05
CLIOQUINOL,TP53,1.21,0.01,0.009747607,2.93E-05
CHEMBL580421,TP53,1.19,0.01,0.009573542,2.93E-05
CHEMBL591126,TP53,1.19,0.01,0.009573542,2.93E-05
CHEMBL374632,TP53,1.19,0.01,0.009573542,2.93E-05
CHEMBL406557,TP53,1.09,0.02,0.00870322,5.87E-05
CHEMBL592123,TP53,1.09,0.04,0.00870322,0.000117361
ALEXIDINE DIHYDROCHLORIDE,TP53,1.09,0.04,0.00870322,0.000117361
MUNDULONE,TP53,1.09,0.04,0.00870322,0.000117361
ALPHA-NAPHTHOFLAVONE,TP53,1.09,0.02,0.00870322,5.87E-05
CHEMBL601140,TP53,1.09,0.04,0.00870322,0.000117361
CHEMBL405317,TP53,1.09,0.04,0.00870322,0.000117361
PROCHLORPERAZINE EDISYLATE,TP53,1.09,0.02,0.00870322,5.87E-05
(S)APOMORPHINE,TP53,1.09,0.02,0.00870322,5.87E-05
DINOSEB,TP53,1.09,0.04,0.00870322,0.000117361
CADMIUM ACETATE,TP53,1.09,0.02,0.00870322,5.87E-05
CHLORFENAPYR,TP53,1.09,0.04,0.00870322,0.000117361
PROPARGITE,TP53,1.09,0.04,0.00870322,0.000117361
NITAZOXANIDE,TP53,1.09,0.01,0.00870322,2.93E-05
CHEMBL177809,TP53,1.09,0.04,0.00870322,0.000117361
CHEMBL265686,TP53,1.09,0.04,0.00870322,0.000117361
KINETIN RIBOSIDE,TP53,1.09,0.04,0.00870322,0.000117361
CHEMBL225513,TP53,1.09,0.02,0.00870322,5.87E-05
TERPYRIDINE,TP53,1.09,0.02,0.00870322,5.87E-05
CHEMBL602150,TP53,1.09,0.04,0.00870322,0.000117361
CHEMBL260560,TP53,1.09,0.02,0.00870322,5.87E-05
FLUOROURACIL,TP53,1.08,0,0.008616188,0
CETUXIMAB,TP53,1.07,0.01,0.008529156,2.93E-05
DIETHYLSTILBESTROL,TP53,1.06,0.01,0.008442124,2.93E-05
MENADIONE,TP53,1.05,0.01,0.008355091,2.93E-05
INDIRUBIN-3-MONOXIME,TP53,1.02,0.01,0.008093995,2.93E-05
ZIRAM,TP53,1.01,0.01,0.008006963,2.93E-05
DASATINIB,TP53,0.98,0,0.007745866,0
CAPECITABINE,TP53,0.97,0.01,0.007658834,2.93E-05
4-METHOXYDALBERGIONE,TP53,0.97,0.02,0.007658834,5.87E-05
CLOTRIMAZOLE,TP53,0.97,0.01,0.007658834,2.93E-05
PIPLARTINE,TP53,0.97,0.02,0.007658834,5.87E-05
METHYLENE BLUE,TP53,0.97,0.02,0.007658834,5.87E-05
MICHLER'S KETONE,TP53,0.97,0.02,0.007658834,5.87E-05
BERZOSERTIB,TP53,0.97,0.02,0.007658834,5.87E-05
CHELERYTHRINE,TP53,0.93,0.01,0.007310705,2.93E-05
EMBELIN,TP53,0.93,0.01,0.007310705,2.93E-05
FENTICLOR,TP53,0.92,0.01,0.007223673,2.93E-05
DAUNORUBICIN HYDROCHLORIDE,TP53,0.92,0,0.007223673,0
CHEMBL578512,TP53,0.9,0.01,0.007049608,2.93E-05
DIBENZ[A,TP53,0.87,0.03,0.006788512,8.80E-05
CHEMBL242171,TP53,0.87,0.01,0.006788512,2.93E-05
CHEMBL405914,TP53,0.87,0.03,0.006788512,8.80E-05
CHEMBL591618,TP53,0.87,0.03,0.006788512,8.80E-05
PAROXETINE HYDROCHLORIDE,TP53,0.87,0.01,0.006788512,2.93E-05
DIMETHYL GAMBOGATE,TP53,0.87,0.03,0.006788512,8.80E-05
PYRACLOSTROBIN,TP53,0.87,0.03,0.006788512,8.80E-05
CHEMBL599100,TP53,0.87,0.03,0.006788512,8.80E-05
INDOPROFEN,TP53,0.87,0.01,0.006788512,2.93E-05
MERCURIC CHLORIDE,TP53,0.87,0.01,0.006788512,2.93E-05
MANGOSTIN,TP53,0.87,0.01,0.006788512,2.93E-05
CHEMBL599943,TP53,0.87,0.03,0.006788512,8.80E-05
POTASSIUM DICHROMATE,TP53,0.87,0.03,0.006788512,8.80E-05
LOPERAMIDE,TP53,0.87,0.01,0.006788512,2.93E-05
PHENANTHROLINE,TP53,0.87,0.01,0.006788512,2.93E-05
CHEMBL291143,TP53,0.87,0.03,0.006788512,8.80E-05
CHEMBL587620,TP53,0.87,0.03,0.006788512,8.80E-05
FANCHININ,TP53,0.87,0.03,0.006788512,8.80E-05
CHLORANIL,TP53,0.87,0.01,0.006788512,2.93E-05
STREPTONIGRIN,TP53,0.87,0.01,0.006788512,2.93E-05
FENOFIBRATE,TP53,0.84,0.01,0.006527415,2.93E-05
THIMEROSAL,TP53,0.84,0.01,0.006527415,2.93E-05
TYRPHOSTIN A9,TP53,0.83,0.01,0.006440383,2.93E-05
HEXACHLOROPHENE,TP53,0.81,0,0.006266319,0
CHEMBL329673,TP53,0.79,0.01,0.006092254,2.93E-05
CHEMBL2002487,TP53,0.79,0.01,0.006092254,2.93E-05
RIBAVIRIN,TP53,0.79,0,0.006092254,0
ECONAZOLE NITRATE,TP53,0.79,0.01,0.006092254,2.93E-05
PROGESTERONE,TP53,0.79,0,0.006092254,0
CADMIUM DICHLORIDE,TP53,0.79,0.01,0.006092254,2.93E-05
DIHYDROGAMBOGIC ACID,TP53,0.79,0.01,0.006092254,2.93E-05
NICLOSAMIDE,TP53,0.78,0.01,0.006005222,2.93E-05
LAPACHONE,TP53,0.78,0.01,0.006005222,2.93E-05
DOXORUBICIN HYDROCHLORIDE,TP53,0.77,0,0.00591819,0
AZACITIDINE,TP53,0.77,0,0.00591819,0
HALOPERIDOL,TP53,0.77,0,0.00591819,0
DAIDZEIN,TP53,0.76,0.01,0.005831158,2.93E-05
NORDIHYDROGUAIARETIC ACID,TP53,0.75,0,0.005744125,0
MITOXANTRONE,TP53,0.74,0,0.005657093,0
MECHLORETHAMINE HYDROCHLORIDE,TP53,0.73,0.02,0.005570061,5.87E-05
QUINACRINE DIHYDROCHLORIDE,TP53,0.73,0.01,0.005570061,2.93E-05
PRAMLINTIDE,TP53,0.73,0.02,0.005570061,5.87E-05
MITOMYCIN,TP53,0.73,0.02,0.005570061,5.87E-05
TRIAMTERENE,TP53,0.73,0.01,0.005570061,2.93E-05
HYDRALAZINE HYDROCHLORIDE,TP53,0.73,0.02,0.005570061,5.87E-05
NIGULDIPINE,TP53,0.73,0.02,0.005570061,5.87E-05
RIMCAZOLE,TP53,0.73,0.02,0.005570061,5.87E-05
CHEMBL85194,TP53,0.73,0.02,0.005570061,5.87E-05
CHEMBL601757,TP53,0.73,0.01,0.005570061,2.93E-05
FLUPHENAZINE,TP53,0.73,0.01,0.005570061,2.93E-05
OLVANIL,TP53,0.73,0.02,0.005570061,5.87E-05
CLOFOCTOL,TP53,0.73,0.02,0.005570061,5.87E-05
SANGUINARIUM,TP53,0.7,0.01,0.005308964,2.93E-05
CHEMBL429095,TP53,0.7,0,0.005308964,0
MELPHALAN,TP53,0.69,0.01,0.005221932,2.93E-05
TAMOXIFEN CITRATE,TP53,0.69,0.01,0.005221932,2.93E-05
RALOXIFENE,TP53,0.68,0,0.0051349,0
CHEMBL533226,TP53,0.67,0.01,0.005047868,2.93E-05
SANGUINARINE SULFATE,TP53,0.67,0.01,0.005047868,2.93E-05
ERLOTINIB,TP53,0.66,0.01,0.004960836,2.93E-05
PHENYLMERCURIC ACETATE,TP53,0.65,0.01,0.004873803,2.93E-05
RESVERATROL,TP53,0.65,0,0.004873803,0
EMODIN,TP53,0.65,0.01,0.004873803,2.93E-05
CHEMBL546170,TP53,0.62,0.02,0.004612707,5.87E-05
CHEMBL1343568,TP53,0.62,0.02,0.004612707,5.87E-05
ETHOPROPAZINE HYDROCHLORIDE,TP53,0.62,0.02,0.004612707,5.87E-05
CHEMBL1256697,TP53,0.62,0.02,0.004612707,5.87E-05
CHEMBL184450,TP53,0.62,0.01,0.004612707,2.93E-05
TRICLOCARBAN,TP53,0.62,0.02,0.004612707,5.87E-05
RITUXIMAB,TP53,0.62,0.02,0.004612707,5.87E-05
CHEMBL27006,TP53,0.62,0.02,0.004612707,5.87E-05
SERTRALINE HYDROCHLORIDE,TP53,0.62,0.02,0.004612707,5.87E-05
SB-224289,TP53,0.62,0.02,0.004612707,5.87E-05
TRACAZOLATE,TP53,0.62,0.02,0.004612707,5.87E-05
CHEMBL337173,TP53,0.62,0.02,0.004612707,5.87E-05
PENTACHLOROPHENOL,TP53,0.62,0.01,0.004612707,2.93E-05
CYTARABINE,TP53,0.61,0,0.004525674,0
CHEMBL35482,TP53,0.59,0,0.00435161,0
WARFARIN,TP53,0.59,0,0.00435161,0
THIORIDAZINE HYDROCHLORIDE,TP53,0.58,0.01,0.004264578,2.93E-05
CHEMBL428789,TP53,0.58,0.01,0.004264578,2.93E-05
QUINALIZARIN,TP53,0.54,0.01,0.003916449,2.93E-05
APOMORPHINE,TP53,0.54,0.01,0.003916449,2.93E-05
TRIFLUPROMAZINE,TP53,0.54,0.02,0.003916449,5.87E-05
E-FLUPENTIXOL,TP53,0.54,0.02,0.003916449,5.87E-05
BITHIONOL,TP53,0.54,0.01,0.003916449,2.93E-05
BAICALEIN,TP53,0.52,0.01,0.003742385,2.93E-05
PROPYLTHIOURACIL,TP53,0.51,0.02,0.003655352,5.87E-05
CLOMIPRAMINE,TP53,0.51,0.01,0.003655352,2.93E-05
FENRETINIDE,TP53,0.5,0.01,0.00356832,2.93E-05
AZATHIOPRINE,TP53,0.5,0.01,0.00356832,2.93E-05
GENISTEIN,TP53,0.49,0,0.003481288,0
MERCAPTOPURINE,TP53,0.48,0,0.003394256,0
3R14S-OCHRATOXIN A,TP53,0.48,0.02,0.003394256,5.87E-05
FLAVANONE,TP53,0.48,0.02,0.003394256,5.87E-05
CHEMBL1169388,TP53,0.48,0.02,0.003394256,5.87E-05
CHEMBL530049,TP53,0.48,0.02,0.003394256,5.87E-05
CHEMBL88272,TP53,0.48,0.02,0.003394256,5.87E-05
DICHLOROPHEN,TP53,0.48,0.01,0.003394256,2.93E-05
TPCK,TP53,0.48,0.01,0.003394256,2.93E-05
CLEMASTINE,TP53,0.48,0.02,0.003394256,5.87E-05
THUNBERGINOL B,TP53,0.44,0.01,0.003046127,2.93E-05
GR-127935,TP53,0.44,0.01,0.003046127,2.93E-05
PERPHENAZINE,TP53,0.41,0.01,0.00278503,2.93E-05
MITOXANTRONE HYDROCHLORIDE,TP53,0.41,0,0.00278503,0
ELLIPTECINE,TP53,0.41,0,0.00278503,0
DOPAMINE,TP53,0.41,0,0.00278503,0
CLADRIBINE,TP53,0.41,0.01,0.00278503,2.93E-05
"(R,S)-INDATRALINE ",TP53,0.4,0.01,0.002697998,2.93E-05
CHEMBL285819,TP53,0.4,0.01,0.002697998,2.93E-05
CHEMBL596633,TP53,0.4,0.01,0.002697998,2.93E-05
CHLORAMBUCIL,TP53,0.36,0.01,0.002349869,2.93E-05
CHLOROTHALONIL,TP53,0.36,0.01,0.002349869,2.93E-05
NORTRIPTYLINE,TP53,0.36,0.01,0.002349869,2.93E-05
GRANISETRON,TP53,0.34,0.01,0.002175805,2.93E-05
PROCHLORPERAZINE,TP53,0.34,0.01,0.002175805,2.93E-05
CHLORPROMAZINE,TP53,0.33,0,0.002088773,0
HOMIDIUM BROMIDE,TP53,0.3,0.01,0.001827676,2.93E-05
ASTEMIZOLE,TP53,0.29,0.01,0.001740644,2.93E-05
PIMOZIDE,TP53,0.28,0,0.001653612,0
BENZETHONIUM CHLORIDE,TP53,0.27,0.01,0.00156658,2.93E-05
OLEOYL DOPAMINE,TP53,0.24,0.01,0.001305483,2.93E-05
VANOXERINE,TP53,0.22,0.01,0.001131419,2.93E-05
MAPROTILINE,TP53,0.18,0.01,0.00078329,2.93E-05
AMOXAPINE,TP53,0.15,0.01,0.000522193,2.93E-05
APATORSEN,HSPB1,17.42,6.89,0.150826806,0.020215357
ARTENIMOL,HSPB1,7.53,0.04,0.064751958,0.000117361
CHEMBL1935538,HSPB1,5.64,0.2,0.048302872,0.000586803
PHENETHYLISOTHIOCYANATE,HSPB1,5.26,0.06,0.044995648,0.000176041
DICARBONODITHIOIMIDIC DIAMIDE,HSPB1,4.36,1.72,0.03716275,0.005046504
CHEMBL2332783,HSPB1,4.36,1.72,0.03716275,0.005046504
CHEMBL2094499,HSPB1,4.36,1.72,0.03716275,0.005046504
CYROMAZINE,HSPB1,4.36,1.72,0.03716275,0.005046504
HYDRASTININE HYDROCHLORIDE,HSPB1,4.36,0.86,0.03716275,0.002523252
NOCODAZOLE,HSPB1,3.83,0.14,0.032550044,0.000410762
UREA,HSPB1,3.35,0.26,0.028372498,0.000762844
ROFECOXIB,HSPB1,3.27,0.43,0.02767624,0.001261626
BENZENETHIOL,HSPB1,2.18,0.86,0.01818973,0.002523252
ALBENDAZOLE,HSPB1,2.18,0.22,0.01818973,0.000645483
QUERCETIN,HSPB1,2.16,0.03,0.018015666,8.80E-05
TEROXIRONE,HSPB1,1.74,0.34,0.014360313,0.000997565
HYMECROMONE,HSPB1,1.74,0.34,0.014360313,0.000997565
CYCLOFENIL,HSPB1,1.45,0.57,0.011836379,0.001672388
CHEMBL333177,HSPB1,1.45,0.57,0.011836379,0.001672388
BUFOTENINE,HSPB1,1.45,0.57,0.011836379,0.001672388
ZEARALENONE,HSPB1,1.34,0.13,0.010879025,0.000381422
BENZO(K)FLUORANTHENE,HSPB1,1.31,0.17,0.010617929,0.000498782
ALPHA-TERTHIENYL,HSPB1,1.09,0.43,0.00870322,0.001261626
CRIDANIMOD,HSPB1,1.09,0.43,0.00870322,0.001261626
VASOPRESSIN,HSPB1,1.02,0.2,0.008093995,0.000586803
PHENANTHROLINE,HSPB1,0.87,0.09,0.006788512,0.000264061
MOMETASONE FUROATE,HSPB1,0.87,0.34,0.006788512,0.000997565
FEPRAZONE,HSPB1,0.87,0.34,0.006788512,0.000997565
RHAMNETIN,HSPB1,0.87,0.34,0.006788512,0.000997565
CLOXYQUIN,HSPB1,0.87,0.17,0.006788512,0.000498782
TRIAMTERENE,HSPB1,0.73,0.1,0.005570061,0.000293401
E-GUGGULSTERONE,HSPB1,0.73,0.29,0.005570061,0.000850864
OMEPRAZOLE,HSPB1,0.38,0.05,0.002523934,0.000146701
POTASSIUM,ATP1A1,43.56,22.72,0.378328982,0.066660799
ALMITRINE,ATP1A1,39.2,20.45,0.340382942,0.060000587
POTASSIUM SULFATE,ATP1A1,26.13,13.63,0.226631854,0.039990611
POTASSIUM ACETATE,ATP1A1,26.13,13.63,0.226631854,0.039990611
MAGNESIUM LEVULINATE,ATP1A1,21.78,11.36,0.188772846,0.033330399
MAGNESIUM ACETATE,ATP1A1,21.78,11.36,0.188772846,0.033330399
MAGNESIUM LACTATE,ATP1A1,21.78,11.36,0.188772846,0.033330399
ALUMINUM ACETATE,ATP1A1,15.25,3.98,0.131940818,0.011677376
ALUMINUM PHOSPHATE,ATP1A1,15.25,3.98,0.131940818,0.011677376
DIGITOXIN,ATP1A1,13.31,1.39,0.115056571,0.004078279
ISTAROXIME,ATP1A1,13.07,3.41,0.112967798,0.010004988
DESLANOSIDE,ATP1A1,11.62,2.02,0.100348129,0.005926708
ACETYLDIGITOXIN,ATP1A1,11.43,1.99,0.098694517,0.005838688
BRETYLIUM,ATP1A1,10.89,5.68,0.093994778,0.0166652
BEPRIDIL,ATP1A1,8.71,1.14,0.075021758,0.003344776
CICLOPIROX,ATP1A1,8.71,4.54,0.075021758,0.013320424
OUABAIN,ATP1A1,7.92,2.07,0.068146214,0.006073409
EPLERENONE,ATP1A1,4.36,2.27,0.03716275,0.006660212
DIGOXIN,ATP1A1,3.84,0.67,0.032637076,0.001965789
HYDROFLUMETHIAZIDE,ATP1A1,3.17,0.83,0.026805918,0.002435232
DIAZOXIDE,ATP1A1,2.05,0.53,0.017058312,0.001555027
CHLOROPROCAINE,ATP1A1,1.74,0.45,0.014360313,0.001320306
TRICHLORMETHIAZIDE,ATP1A1,1.24,0.65,0.010008703,0.001907109
LUMEFANTRINE,ATP1A1,1.09,0.57,0.00870322,0.001672388
ARTEMETHER,ATP1A1,0.87,0.45,0.006788512,0.001320306
ETIDRONIC ACID,SLC25A5,4.65,7.57,0.039686684,0.022210486
CLODRONIC ACID,SLC25A5,2.61,5.68,0.021932115,0.0166652
VOLOCIXIMAB,ITGB1,4.36,5.68,0.03716275,0.0166652
FIRATEGRAST,ITGB1,2.9,3.79,0.024456049,0.011119913
SAN-300,ITGB1,2.18,2.84,0.01818973,0.0083326
PF-04605412,ITGB1,2.18,2.84,0.01818973,0.0083326
ABITUZUMAB,ITGB1,1.74,1.14,0.014360313,0.003344776
INTETUMUMAB,ITGB1,1.74,1.14,0.014360313,0.003344776
GLPG-0187,ITGB1,1.45,0.95,0.011836379,0.002787313
ETARACIZUMAB,ITGB1,1.09,1.42,0.00870322,0.0041663
ANTI-THYMOCYTE GLOBULIN (RABBIT),ITGB1,0.97,1.26,0.007658834,0.003696858
NATALIZUMAB,ITGB1,0.73,0.95,0.005570061,0.002787313
DINACICLIB,CDK1,11.62,0.64,0.100348129,0.001877769
ARUNCIN B,CDK1,8.71,1.93,0.075021758,0.005662647
CHEMBL1082552,CDK1,8.71,1.93,0.075021758,0.005662647
ALVOCIDIB,CDK1,6.93,0.22,0.059530026,0.000645483
HYMENIALDISINE,CDK1,5.81,0.64,0.049782419,0.001877769
RIVICICLIB,CDK1,4.36,0.96,0.03716275,0.002816653
PROTUBOXEPIN A,CDK1,4.36,0.96,0.03716275,0.002816653
CHEMBL216543,CDK1,4.36,0.32,0.03716275,0.000938884
SELICICLIB,CDK1,3.48,0.26,0.029503916,0.000762844
ALSTERPAULLONE,CDK1,3.14,0.08,0.026544822,0.000234721
AT-7519,CDK1,3.11,0.23,0.026283725,0.000674823
RGB-286638,CDK1,3.02,0.22,0.025500435,0.000645483
AG-24322,CDK1,2.9,0.64,0.024456049,0.001877769
PATULIN,CDK1,2.9,0.21,0.024456049,0.000616143
OLOMOUCINE,CDK1,2.9,0.32,0.024456049,0.000938884
CHEMBL403183,CDK1,2.61,0.19,0.021932115,0.000557463
MILCICLIB,CDK1,2.49,0.28,0.020887728,0.000821524
ZOTIRACICLIB,CDK1,2.38,0.18,0.019930374,0.000528123
CLOFIBRATE,CDK1,2.32,0.13,0.019408181,0.000381422
BOHEMINE,CDK1,2.18,0.48,0.01818973,0.001408327
WITHAFERIN A,CDK1,2.18,0.16,0.01818973,0.000469442
ROTENONE,CDK1,1.87,0.14,0.015491732,0.000410762
SERTRALINE,CDK1,1.81,0.08,0.014969539,0.000234721
(RS)-ROSCOVITINE,CDK1,1.68,0.07,0.01383812,0.000205381
CINNARIZINE,CDK1,1.54,0.11,0.012619669,0.000322742
RG-547,CDK1,1.45,0.32,0.011836379,0.000938884
